algo,arch,scale,query,time,relation,tuple,sensitivity,all_table_tstar,time_list,test pass
TSens,snap_facebook,1,q_4path_cb10d8,0.221,source_348_circle_circle13,"[('c', '376'), ('d', '376')]",115650,"[(source_348_circle_circle13, [('c', '376'), ('d', '376')], 115650), (source_348_circle_circle8, [('d', '376')], 77893), (source_348_circle_circle11, [('b', '376'), ('c', '376')], 13761), (source_348_circle_circle1, [('b', '376')], 3460)]","[0.2126295566558838, 0.18842840194702148, 0.24460840225219727, 0.24386262893676758, 0.24142241477966309, 0.2326653003692627, 0.21104884147644043, 0.22583842277526855, 0.2249302864074707, 0.18002820014953613]",Succeeded
Elastic,snap_facebook,1,q_4path_cb10d8,0.01,source_348_circle_circle8,"[('D', '376'), ('E', '376')]",376200,"[(source_348_circle_circle8, [('D', '376'), ('E', '376')], 376200, 77893), (source_348_circle_circle13, [('C', '376'), ('D', '376')], 225720, 115650), (source_348_circle_circle11, [('C', '376'), ('B', '376')], 148500, 13761), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 114000, 3460)]","[0.021988391876220703, 0.008774757385253906, 0.008636951446533203, 0.00815892219543457, 0.008408546447753906, 0.008650779724121094, 0.008387088775634766, 0.008420467376708984, 0.008401870727539062, 0.009429216384887695]",Unknown
TSens,snap_facebook,1,q_4star_19e532,0.386,source_348_circle_circle8,"[('c', '507'), ('a', '376')]",29,"[(source_348_circle_circle8, [('c', '507'), ('a', '376')], 29), (source_348_circle_circle13, [('c', '376'), ('b', '373')], 20), (source_348_circle_circle11, [('b', '507'), ('a', '376')], 7), (tri_source_348_circle_circle1, [('c', '367'), ('b', '363'), ('a', '376')], 1)]","[0.4398329257965088, 0.3536722660064697, 0.3376941680908203, 0.41913747787475586, 0.39194488525390625, 0.37152957916259766, 0.48186206817626953, 0.3935089111328125, 0.3418869972229004, 0.32900071144104004]",Succeeded
Elastic,snap_facebook,1,q_4star_19e532,0.068,source_348_circle_circle8,"[('C', '376'), ('A', '376')]",13018800,"[(source_348_circle_circle8, [('C', '376'), ('A', '376')], 13018800, 0), (source_348_circle_circle13, [('C', '376'), ('B', '376')], 7811280, 0), (source_348_circle_circle11, [('B', '376'), ('A', '376')], 5139000, 0), (tri_source_348_circle_circle1, [('C', '376'), ('B', '376'), ('A', '376')], 114000, 0)]","[0.07020926475524902, 0.06809496879577637, 0.06694960594177246, 0.06678271293640137, 0.06745433807373047, 0.06739401817321777, 0.06709909439086914, 0.06801033020019531, 0.06746768951416016, 0.06742119789123535]",Unknown
TSens,snap_facebook,1,q_4path_93f4e3,0.22699999999999998,source_348_circle_circle2,"[('c', '376'), ('d', '376')]",115650,"[(source_348_circle_circle2, [('c', '376'), ('d', '376')], 115650), (source_348_circle_circle8, [('d', '404')], 45744), (source_348_circle_circle11, [('b', '376'), ('c', '395')], 4851), (source_348_circle_circle1, [('b', '404')], 906)]","[0.2396552562713623, 0.2517211437225342, 0.20313572883605957, 0.2429032325744629, 0.1982722282409668, 0.20197129249572754, 0.23104619979858398, 0.23358511924743652, 0.23128223419189453, 0.23798608779907227]",Succeeded
Elastic,snap_facebook,1,q_4path_93f4e3,0.01,source_348_circle_circle2,"[('C', '376'), ('D', '376')]",225720,"[(source_348_circle_circle2, [('C', '376'), ('D', '376')], 225720, 115650), (source_348_circle_circle8, [('D', '538'), ('E', '376')], 180576, 45469), (source_348_circle_circle11, [('C', '538'), ('B', '376')], 71280, 4851), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 54720, 378)]","[0.025536775588989258, 0.009708404541015625, 0.007932662963867188, 0.00828409194946289, 0.007128477096557617, 0.007799863815307617, 0.007610797882080078, 0.008006572723388672, 0.007906675338745117, 0.007600069046020508]",Unknown
TSens,snap_facebook,1,q_4path_8ac4a3,0.217,source_686_circle_circle8,"[('c', '823'), ('d', '713')]",30780,"[(source_686_circle_circle8, [('c', '823'), ('d', '713')], 30780), (source_686_circle_circle13, [('b', '747'), ('c', '823')], 7155), (source_686_circle_circle9, [('d', '747')], 3328), (source_686_circle_circle0, [('b', '828')], 866)]","[0.2089838981628418, 0.22203469276428223, 0.2124643325805664, 0.21151399612426758, 0.21817994117736816, 0.18928790092468262, 0.22110462188720703, 0.2249295711517334, 0.22457361221313477, 0.23850679397583008]",Succeeded
Elastic,snap_facebook,1,q_4path_8ac4a3,0.006999999999999999,source_686_circle_circle8,"[('C', '747'), ('D', '713')]",65610,"[(source_686_circle_circle8, [('C', '747'), ('D', '713')], 65610, 24894), (source_686_circle_circle13, [('C', '747'), ('B', '828')], 31590, 6380), (source_686_circle_circle0, [('B', '747'), ('A', '747')], 18954, 700), (source_686_circle_circle9, [('D', '747'), ('E', '713')], 15795, 3328)]","[0.007825613021850586, 0.0074462890625, 0.0069844722747802734, 0.006979703903198242, 0.0072023868560791016, 0.00666356086730957, 0.006852626800537109, 0.0076639652252197266, 0.0073392391204833984, 0.0069005489349365234]",Unknown
TSens,snap_facebook,1,q_triangle_d99715,0.391,source_348_circle_circle2,"[('c', '376'), ('a', '376')]",76,"[(source_348_circle_circle2, [('c', '376'), ('a', '376')], 76), (source_348_circle_circle11, [('c', '404'), ('b', '404')], 24), (source_348_circle_circle1, [('b', '404'), ('a', '404')], 22)]","[0.4234883785247803, 0.3786904811859131, 0.3763258457183838, 0.3755486011505127, 0.36275362968444824, 0.37763476371765137, 0.4692099094390869, 0.3906278610229492, 0.38002681732177734, 0.37694382667541504]",Succeeded
Elastic,snap_facebook,1,q_triangle_d99715,0.006,source_348_circle_circle2,"[('C', '538'), ('A', '376')]",7524,"[(source_348_circle_circle2, [('C', '538'), ('A', '376')], 7524, 31), (source_348_circle_circle11, [('C', '538'), ('B', '376')], 2376, 8), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 1824, 0)]","[0.008201837539672852, 0.006307125091552734, 0.006081819534301758, 0.006066560745239258, 0.005869626998901367, 0.006044149398803711, 0.006058692932128906, 0.005857944488525391, 0.006137371063232422, 0.0061109066009521484]",Unknown
TSens,snap_facebook,1,q_4cycle_a0d7e9,0.221,source_686_circle_circle12,"[('c', '828'), ('b', '828')]",304,"[(source_686_circle_circle12, [('c', '828'), ('b', '828')], 304), (source_686_circle_circle0, [('b', '705'), ('a', '828')], 227), (source_686_circle_circle9, [('d', '705'), ('a', '787')], 204), (source_686_circle_circle4, [('c', '705'), ('d', '828')], 145)]","[0.2556421756744385, 0.20154690742492676, 0.18451905250549316, 0.27685070037841797, 0.21421551704406738, 0.20239543914794922, 0.20160889625549316, 0.2821187973022461, 0.19823956489562988, 0.19739294052124023]",Succeeded
Elastic,snap_facebook,1,q_4cycle_a0d7e9,0.005,source_686_circle_circle12,"[('C', '705'), ('B', '705')]",155520,"[(source_686_circle_circle12, [('C', '705'), ('B', '705')], 155520, 227), (source_686_circle_circle0, [('B', '747'), ('A', '747')], 79488, 0), (source_686_circle_circle9, [('D', '713'), ('A', '747')], 66240, 92), (source_686_circle_circle4, [('C', '705'), ('D', '713')], 55890, 125)]","[0.007325649261474609, 0.005302906036376953, 0.005132913589477539, 0.004918813705444336, 0.005224466323852539, 0.005011558532714844, 0.004935741424560547, 0.00493311882019043, 0.005056858062744141, 0.005060911178588867]",Unknown
TSens,snap_facebook,1,q_triangle_484bb9,0.44,source_348_circle_circle13,"[('c', '376'), ('a', '376')]",76,"[(source_348_circle_circle13, [('c', '376'), ('a', '376')], 76), (source_348_circle_circle11, [('c', '376'), ('b', '376')], 50), (source_348_circle_circle1, [('b', '376'), ('a', '376')], 33)]","[0.41806650161743164, 0.42821478843688965, 0.41248035430908203, 0.3911464214324951, 0.5242393016815186, 0.44690561294555664, 0.4420051574707031, 0.44533586502075195, 0.44925880432128906, 0.43855881690979004]",Succeeded
Elastic,snap_facebook,1,q_triangle_484bb9,0.006999999999999999,source_348_circle_circle13,"[('C', '376'), ('A', '376')]",7524,"[(source_348_circle_circle13, [('C', '376'), ('A', '376')], 7524, 76), (source_348_circle_circle11, [('C', '376'), ('B', '376')], 4950, 50), (source_348_circle_circle1, [('B', '376'), ('A', '376')], 3800, 33)]","[0.008224964141845703, 0.007414340972900391, 0.006648540496826172, 0.0066432952880859375, 0.006133079528808594, 0.006217241287231445, 0.00637054443359375, 0.006427764892578125, 0.006092071533203125, 0.00782918930053711]",Unknown
TSens,snap_facebook,1,q_triangle_c6971a,0.12,source_686_circle_circle12,"[('c', '828'), ('b', '828')]",42,"[(source_686_circle_circle12, [('c', '828'), ('b', '828')], 42), (source_686_circle_circle4, [('c', '705'), ('a', '705')], 22), (source_686_circle_circle0, [('b', '705'), ('a', '705')], 21)]","[0.11109232902526855, 0.09111428260803223, 0.09296560287475586, 0.13256359100341797, 0.1611483097076416, 0.09827280044555664, 0.11403369903564453, 0.2127830982208252, 0.0980522632598877, 0.09119439125061035]",Succeeded
Elastic,snap_facebook,1,q_triangle_c6971a,0.004,source_686_circle_circle12,"[('C', '828'), ('B', '705')]",2880,"[(source_686_circle_circle12, [('C', '828'), ('B', '705')], 2880, 26), (source_686_circle_circle0, [('B', '747'), ('A', '828')], 1472, 12), (source_686_circle_circle4, [('C', '705'), ('A', '747')], 1035, 12)]","[0.004931449890136719, 0.0033485889434814453, 0.0034990310668945312, 0.0033533573150634766, 0.003467559814453125, 0.0034003257751464844, 0.003335237503051758, 0.00339508056640625, 0.003454923629760742, 0.0031981468200683594]",Unknown
