algo,arch,scale,query,reln,limit,reps,eps,pre_eps,run_eps,nosy_ans,gsens,bias_ans,true_ans,nosy_ans_list,bias_ans_list,gsens_list,avg_time,time_list
TSensDP,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,200,20,1.0,0.5,0.5,138115.18718471954,167.35,138096.7,142903.0,"[132555.70950387954, 139609.96612892134, 140008.8604084874, 138594.87586023106, 143033.11866215055, 132152.56566859473, 140748.53068832718, 142831.43989042327, 142499.40842727042, 140828.38961107604, 135862.91576975086, 140066.829505875, 142301.8599823003, 140741.78698903465, 122397.49063325264, 141586.4016853111, 141367.94258626454, 132007.61546774872, 136924.8363443847, 136183.19988110696]","[131954.0, 139783.0, 140618.0, 138354.0, 142280.0, 132088.0, 140618.0, 140792.0, 142903.0, 140618.0, 135483.0, 140115.0, 142280.0, 140792.0, 122828.0, 142482.0, 141697.0, 133052.0, 136825.0, 136372.0]","[133, 165, 170, 154, 201, 134, 171, 174, 236, 171, 146, 166, 200, 174, 114, 206, 191, 140, 151, 150]",0.7920925140380859,"[0.7884552478790283, 0.7997317314147949, 0.791407585144043, 0.9516675472259521, 0.7865142822265625, 0.7953596115112305, 0.7379956245422363, 0.7640218734741211, 0.7802395820617676, 0.7567400932312012, 0.7543449401855469, 0.8290772438049316, 0.7812240123748779, 0.826416015625, 0.7783820629119873, 0.7735888957977295, 0.7857513427734375, 0.7900581359863281, 0.7994349002838135, 0.7714395523071289]"
PrivateSQL,snap_facebook,1,q_4cycle_60533f,source_348_circle_4d72cf,None,20,1.0,0.5,0.5,95124.3528018211,289476.0,142903.0,142903.0,"[92497.4052416953, 15325.557853325692, 448798.59319248237, -34758.72998700905, -1079873.8006188755, 879727.5072715587, -307248.8906120706, 182872.2929259707, -59436.31104275645, 1555698.3154562986, 4023.321413954691, 239261.01148434792, 328671.51602523203, 65718.7905264421, 71040.39473207103, 141636.4454354894, 230790.2363646745, -1297937.0616546867, -91291.21497694164, 516971.67700521875]","[142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903, 142903]","[289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476]",2.2321331024169924,"[2.2226779460906982, 2.2265353202819824, 2.2274863719940186, 2.235206365585327, 2.2373850345611572, 2.237032890319824, 2.2345082759857178, 2.2298595905303955, 2.2254960536956787, 2.2282755374908447, 2.2301669120788574, 2.233778715133667, 2.235924005508423, 2.2296359539031982, 2.2534401416778564, 2.2334377765655518, 2.228631019592285, 2.2311906814575195, 2.2269644737243652, 2.2350289821624756]"
TSensDP,snap_facebook,1,q_4star_0ffe47,source_348_circle_4d72cf,15,20,1.0,0.5,0.5,641.9006546820767,12.6,637.2,786.0,"[845.8257416435769, 642.7063342359598, 787.6057750097783, 410.9571346196358, 805.9109769223537, 359.804270107654, 366.157586139503, 511.999986513752, 781.3884492562127, 444.25635982365327, 449.0536991927396, 575.0428159641732, 762.0182742415819, 630.2875686660401, 966.7086352895085, 592.0216903311115, 738.9707746800476, 836.3267682137775, 677.227775400471, 653.7424773900062]","[786.0, 659.0, 761.0, 452.0, 786.0, 357.0, 357.0, 524.0, 786.0, 452.0, 452.0, 587.0, 786.0, 659.0, 786.0, 587.0, 761.0, 786.0, 761.0, 659.0]","[15, 8, 11, 5, 18, 4, 4, 6, 43, 5, 5, 7, 16, 8, 38, 7, 11, 22, 11, 8]",0.6702342867851258,"[0.6570124626159668, 0.6253235340118408, 0.6915998458862305, 0.6110639572143555, 0.6483488082885742, 0.6614906787872314, 0.6222913265228271, 0.6518309116363525, 0.6425294876098633, 0.6747138500213623, 0.7346718311309814, 0.7059292793273926, 0.7090094089508057, 0.6795039176940918, 0.6615004539489746, 0.6740343570709229, 0.6655750274658203, 0.7001512050628662, 0.6850709915161133, 0.7030344009399414]"
PrivateSQL,snap_facebook,1,q_4star_0ffe47,source_348_circle_4d72cf,None,20,1.0,0.5,0.5,-245908.60696074288,2436984.0,786.0,786.0,"[-3874178.119739947, 475161.3563450799, 10648126.795761779, -3957104.217717827, -19842790.882448316, -86766.73288896898, -9510160.29856408, 3582560.5343692643, -460501.3470553645, 2647385.0295325555, 4737164.067257345, -116105.59446769964, 759610.1034052591, 5591793.258473592, -4796948.754962544, 5286550.500119657, 10294994.832381913, 1310858.0582302723, -6988298.728338186, -619521.9989086477]","[786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786, 786]","[2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984, 2436984]",0.2902732610702515,"[0.2951197624206543, 0.2923851013183594, 0.29047560691833496, 0.28884243965148926, 0.2910301685333252, 0.2903134822845459, 0.288968563079834, 0.28901052474975586, 0.2925138473510742, 0.29015111923217773, 0.2897496223449707, 0.2874629497528076, 0.28957128524780273, 0.2891421318054199, 0.29496288299560547, 0.2887451648712158, 0.29130053520202637, 0.2869076728820801, 0.2887232303619385, 0.29008913040161133]"
TSensDP,snap_facebook,1,q_4path_b27cc5,source_348_circle_4d72cf,25000,20,1.0,0.5,0.5,16524260.252510725,17440.2,16534366.75,17555419.0,"[16451023.900142487, 16730500.244428506, 16236289.054194229, 16102912.321532568, 16527357.88968004, 16819683.167438954, 17061382.46058301, 16858902.80618967, 16735709.269077364, 16619291.709167933, 16204245.431803444, 16305958.01761983, 16698938.29784826, 15917173.047137769, 15635442.558654273, 16371299.912659718, 16796716.903887272, 17478014.43182889, 16739482.424053485, 16194881.202286713]","[16456035.0, 16730277.0, 16167060.0, 16120188.0, 16522813.0, 16837432.0, 17057308.0, 16873582.0, 16695061.0, 16591259.0, 16277738.0, 16390567.0, 16695061.0, 15906019.0, 15671444.0, 16423222.0, 16819513.0, 17555419.0, 16730277.0, 16167060.0]","[16465, 17776, 15737, 15603, 17079, 17966, 18728, 18077, 17410, 17134, 15958, 16239, 17440, 14922, 14407, 16378, 17870, 30265, 17630, 15720]",0.8434033632278443,"[0.7764978408813477, 0.816582202911377, 0.815549373626709, 0.747344970703125, 0.8710501194000244, 0.8689312934875488, 0.9073600769042969, 0.8633472919464111, 0.8417651653289795, 0.7918803691864014, 0.8011276721954346, 0.898106575012207, 0.8349714279174805, 0.7540717124938965, 0.7591793537139893, 0.8578741550445557, 0.8762228488922119, 1.1667463779449463, 0.819408655166626, 0.8000497817993164]"
PrivateSQL,snap_facebook,1,q_4path_b27cc5,source_348_circle_4d72cf,None,20,1.0,0.5,0.5,17600582.854789965,289476.0,17555419.0,17555419.0,"[16387426.39465299, 18227828.810168155, 17963443.30419664, 17382947.612249654, 16335921.9157549, 19667407.911683895, 17074933.863413617, 17172240.229832627, 17580532.78687336, 18154499.216378532, 17510125.79263352, 17970612.091566335, 17620426.694034807, 17341361.586184837, 17469386.194283217, 18157366.242796555, 17831247.795009464, 17435698.06224281, 16881249.05233153, 17847001.539511908]","[17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419, 17555419]","[289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476, 289476]",10.339619565010072,"[10.36725664138794, 10.32995343208313, 10.346349239349365, 10.34824538230896, 10.370936393737793, 10.379034280776978, 10.343043088912964, 10.340176820755005, 10.288808345794678, 10.314162015914917, 10.314918279647827, 10.341307640075684, 10.325149297714233, 10.301867723464966, 10.358294248580933, 10.394996166229248, 10.35386347770691, 10.356214761734009, 10.291849851608276, 10.325964212417603]"
TSensDP,snap_facebook,1,q_triangle_8e3f9d,source_348_circle_4d72cf,70,20,1.0,0.5,0.5,29869.154287657617,48.55,29873.65,30699.0,"[30056.822498465324, 30721.42209287737, 30183.45560079099, 30081.587018586975, 29413.78545226258, 29934.04187872703, 30966.7014741299, 30295.831682852888, 27144.193394246322, 25207.14028705387, 30132.80414856564, 29807.286678776156, 29277.303815488016, 30868.70617625421, 30493.1236006728, 30422.634969506344, 30659.488202815242, 30800.910844296133, 30309.347339704465, 30606.498597080095]","[30182.0, 30699.0, 30140.0, 30060.0, 29277.0, 30140.0, 30699.0, 30311.0, 27040.0, 25313.0, 30140.0, 29748.0, 29277.0, 30699.0, 30489.0, 30581.0, 30699.0, 30699.0, 30699.0, 30581.0]","[42, 82, 40, 39, 34, 41, 61, 43, 26, 23, 41, 38, 34, 68, 45, 51, 66, 71, 77, 49]",0.5619070172309876,"[0.5445470809936523, 0.5139162540435791, 0.5605418682098389, 0.5759677886962891, 0.5442397594451904, 0.5686826705932617, 0.5827093124389648, 0.5662600994110107, 0.5393774509429932, 0.5749073028564453, 0.5893723964691162, 0.5245556831359863, 0.5687816143035889, 0.5581350326538086, 0.5427894592285156, 0.5805497169494629, 0.5965278148651123, 0.5875804424285889, 0.5431547164916992, 0.5755438804626465]"
PrivateSQL,snap_facebook,1,q_triangle_8e3f9d,source_348_circle_4d72cf,None,20,1.0,0.5,0.5,27631.87359240163,6732.0,30699.0,30699.0,"[19720.218293318572, 32960.76633635599, 37518.77122895799, 27749.375772314215, 31529.322342544354, 22505.76190518395, -3020.2748142681958, 23248.63963918088, 28011.65267573754, -945.7097139678917, 29852.949244928768, 30245.771685699136, 22464.584726467816, 15254.953153554172, 25360.73632573875, 31494.442437260794, 88837.83914140554, 35521.544651662116, 24298.526172918948, 30027.600643039128]","[30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699, 30699]","[6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732, 6732]",0.22997539043426515,"[0.23697209358215332, 0.22847366333007812, 0.2281045913696289, 0.2316443920135498, 0.23105764389038086, 0.2293403148651123, 0.22951889038085938, 0.2322230339050293, 0.22906279563903809, 0.2292037010192871, 0.22905683517456055, 0.23063254356384277, 0.2305595874786377, 0.2297353744506836, 0.23141789436340332, 0.22909069061279297, 0.22901201248168945, 0.22910404205322266, 0.22792339324951172, 0.22737431526184082]"
