algo,arch,scale,query,time,relation,tuple,sensitivity,all_table_tstar,time_list,test pass
TSens,snap_facebook,1,q_4cycle_60533f,0.618,source_348_circle_9939a6,"[('d', '376'), ('a', '561')]",2014,"[(source_348_circle_9939a6, [('d', '376'), ('a', '561')], 2014), (source_348_circle_cd20fc, [('c', '376'), ('d', '563')], 961), (source_348_circle_dabfae, [('a', '563'), ('b', '376')], 273), (source_348_circle_4d72cf, [('c', '376'), ('b', '376')], 213)]","[0.6367232799530029, 0.6349866390228271, 0.6200249195098877, 0.6205759048461914, 0.6265707015991211, 0.5995290279388428, 0.5969240665435791, 0.6056976318359375, 0.6405887603759766, 0.6045870780944824, 0.6374819278717041, 0.6562614440917969, 0.620729923248291, 0.6174695491790771, 0.620962381362915, 0.6106066703796387, 0.6035106182098389, 0.604788064956665, 0.6104614734649658, 0.6009235382080078]",Succeeded
Elastic,snap_facebook,1,q_4cycle_60533f,0.009000000000000001,source_348_circle_9939a6,"[('D', '376'), ('A', '376')]",511632,"[(source_348_circle_9939a6, [('D', '376'), ('A', '376')], 511632, 1937), (source_348_circle_cd20fc, [('C', '376'), ('D', '376')], 323532, 929), (source_348_circle_4d72cf, [('C', '376'), ('B', '376')], 289476, 213), (source_348_circle_dabfae, [('A', '563'), ('B', '376')], 222224, 273)]","[0.00924992561340332, 0.009064435958862305, 0.008847713470458984, 0.008779287338256836, 0.009132146835327148, 0.009010553359985352, 0.008742332458496094, 0.008847713470458984, 0.008712530136108398, 0.009007453918457031, 0.009096384048461914, 0.008956193923950195, 0.009173154830932617, 0.00899195671081543, 0.008741617202758789, 0.008856058120727539, 0.009272575378417969, 0.00913691520690918, 0.008506536483764648, 0.008962631225585938]",Unknown
TSens,snap_facebook,1,q_4star_0ffe47,0.604,source_348_circle_cd20fc,"[('c', '378'), ('a', '561')]",34,"[(source_348_circle_cd20fc, [('c', '378'), ('a', '561')], 34), (source_348_circle_4d72cf, [('c', '376'), ('b', '561')], 13), (source_348_circle_dabfae, [('a', '376'), ('b', '561')], 11), (tri_source_348_circle_9939a6, [('c', '376'), ('a', '463'), ('b', '413')], 4)]","[0.6614320278167725, 0.598564624786377, 0.6165664196014404, 0.5711569786071777, 0.600039005279541, 0.6063141822814941, 0.5594062805175781, 0.5909991264343262, 0.6585779190063477, 0.5994327068328857, 0.5952668190002441, 0.6185193061828613, 0.6429891586303711, 0.585921049118042, 0.6094338893890381, 0.6027472019195557, 0.6182289123535156, 0.6054501533508301, 0.5825338363647461, 0.5609238147735596]",Succeeded
Elastic,snap_facebook,1,q_4star_0ffe47,0.012,source_348_circle_cd20fc,"[('C', '376'), ('A', '376')]",2723688,"[(source_348_circle_cd20fc, [('C', '376'), ('A', '376')], 2723688, 0), (source_348_circle_4d72cf, [('C', '376'), ('B', '376')], 2436984, 0), (source_348_circle_dabfae, [('A', '376'), ('B', '376')], 1870816, 0), (tri_source_348_circle_9939a6, [('C', '376'), ('A', '376'), ('B', '376')], 511632, 0)]","[0.013124704360961914, 0.011406421661376953, 0.011548280715942383, 0.01146841049194336, 0.011438608169555664, 0.01168060302734375, 0.01172018051147461, 0.011475563049316406, 0.011456489562988281, 0.011283636093139648, 0.011209964752197266, 0.011565208435058594, 0.011818408966064453, 0.011948585510253906, 0.011426210403442383, 0.011693716049194336, 0.011148691177368164, 0.011368989944458008, 0.01150202751159668, 0.012292861938476562]",Unknown
TSens,snap_facebook,1,q_4path_b27cc5,0.237,source_348_circle_cd20fc,"[('c', '559'), ('d', '563')]",178923,"[(source_348_circle_cd20fc, [('c', '559'), ('d', '563')], 178923), (source_348_circle_9939a6, [('d', '376')], 134344), (source_348_circle_4d72cf, [('b', '376'), ('c', '376')], 24552), (source_348_circle_dabfae, [('b', '376')], 5728)]","[0.26608848571777344, 0.19038629531860352, 0.23104548454284668, 0.25757408142089844, 0.24420881271362305, 0.21778440475463867, 0.2042229175567627, 0.22615647315979004, 0.23429441452026367, 0.2440786361694336, 0.24843239784240723, 0.25853896141052246, 0.22040104866027832, 0.24586176872253418, 0.19759035110473633, 0.255403995513916, 0.2556741237640381, 0.26694679260253906, 0.23299670219421387, 0.23518800735473633]",Succeeded
Elastic,snap_facebook,1,q_4path_b27cc5,0.01,source_348_circle_9939a6,"[('E', '563'), ('D', '376')]",511632,"[(source_348_circle_9939a6, [('E', '563'), ('D', '376')], 511632, 134344), (source_348_circle_cd20fc, [('C', '376'), ('D', '563')], 323532, 175311), (source_348_circle_4d72cf, [('C', '376'), ('B', '376')], 289476, 24552), (source_348_circle_dabfae, [('A', '376'), ('B', '376')], 222224, 5728)]","[0.014568805694580078, 0.012295722961425781, 0.009931087493896484, 0.009935379028320312, 0.009878396987915039, 0.009551525115966797, 0.009498119354248047, 0.009469270706176758, 0.00928497314453125, 0.009744644165039062, 0.009555339813232422, 0.009670019149780273, 0.009761333465576172, 0.009746313095092773, 0.009726524353027344, 0.0103302001953125, 0.010520219802856445, 0.009616851806640625, 0.009838342666625977, 0.009852409362792969]",Unknown
TSens,snap_facebook,1,q_triangle_8e3f9d,0.405,source_348_circle_cd20fc,"[('c', '561'), ('a', '561')]",87,"[(source_348_circle_cd20fc, [('c', '561'), ('a', '561')], 87), (source_348_circle_4d72cf, [('c', '376'), ('b', '376')], 68), (source_348_circle_dabfae, [('a', '376'), ('b', '376')], 51)]","[0.4167027473449707, 0.38457655906677246, 0.40848469734191895, 0.4012579917907715, 0.41821765899658203, 0.41750669479370117, 0.4207890033721924, 0.38826417922973633, 0.38786816596984863, 0.4011988639831543, 0.41042661666870117, 0.4091320037841797, 0.40042567253112793, 0.3833901882171631, 0.42234110832214355, 0.4069387912750244, 0.4015836715698242, 0.40418410301208496, 0.42044591903686523, 0.40578794479370117]",Succeeded
Elastic,snap_facebook,1,q_triangle_8e3f9d,0.006999999999999999,source_348_circle_cd20fc,"[('C', '376'), ('A', '376')]",7524,"[(source_348_circle_cd20fc, [('C', '376'), ('A', '376')], 7524, 76), (source_348_circle_4d72cf, [('C', '376'), ('B', '376')], 6732, 68), (source_348_circle_dabfae, [('A', '376'), ('B', '376')], 5168, 51)]","[0.009268045425415039, 0.00772404670715332, 0.007298946380615234, 0.007364988327026367, 0.007265329360961914, 0.0072939395904541016, 0.0070934295654296875, 0.007250785827636719, 0.007431745529174805, 0.0072443485260009766, 0.0071218013763427734, 0.007016658782958984, 0.00722050666809082, 0.0073359012603759766, 0.007216691970825195, 0.007153987884521484, 0.007504940032958984, 0.0073680877685546875, 0.0071790218353271484, 0.007113933563232422]",Unknown
