arch,scale,query,total_output,total_input,total_repr,table_dict,avg_time,time_list,test_pass
snap_facebook,1,q_4cycle_60533f,142903,14146,54782,"{'source_348_circle_dabfae': {'cnt': 6830, 'attributes': {'A': {'active': 200, 'repr': 59, 'mf': 99}, 'B': {'active': 200, 'repr': 149, 'mf': 99}}, 'repr': 8791}, 'source_348_circle_4d72cf': {'cnt': 4818, 'attributes': {'C': {'active': 149, 'repr': 93, 'mf': 76}, 'B': {'active': 149, 'repr': 200, 'mf': 76}}, 'repr': 18600}, 'source_348_circle_cd20fc': {'cnt': 1872, 'attributes': {'C': {'active': 93, 'repr': 149, 'mf': 68}, 'D': {'active': 93, 'repr': 59, 'mf': 68}}, 'repr': 8791}, 'source_348_circle_9939a6': {'cnt': 626, 'attributes': {'D': {'active': 59, 'repr': 93, 'mf': 43}, 'A': {'active': 59, 'repr': 200, 'mf': 43}}, 'repr': 18600}}",0.465,"[0.48232030868530273, 0.4590766429901123, 0.40416789054870605, 0.45759057998657227, 0.4802277088165283, 0.43413782119750977, 0.41245222091674805, 0.4744904041290283, 0.43407154083251953, 0.6714351177215576, 0.5045294761657715, 0.44082021713256836, 0.43703150749206543, 0.4714701175689697, 0.46539950370788574, 0.4644761085510254, 0.46712684631347656, 0.45232295989990234, 0.46820759773254395, 0.4115946292877197]",Unknown
snap_facebook,1,q_4star_0ffe47,786,18272,16008,"{'source_348_circle_dabfae': {'cnt': 6830, 'attributes': {'A': {'active': 29, 'repr': 29, 'mf': 99}, 'B': {'active': 28, 'repr': 31, 'mf': 99}}, 'repr': 899}, 'source_348_circle_4d72cf': {'cnt': 4818, 'attributes': {'C': {'active': 17, 'repr': 29, 'mf': 76}, 'B': {'active': 31, 'repr': 28, 'mf': 76}}, 'repr': 812}, 'source_348_circle_cd20fc': {'cnt': 1872, 'attributes': {'C': {'active': 29, 'repr': 17, 'mf': 68}, 'A': {'active': 29, 'repr': 29, 'mf': 68}}, 'repr': 493}, 'tri_source_348_circle_9939a6': {'cnt': 4752, 'attributes': {'C': {'active': 54, 'repr': 17, 'mf': 362}, 'A': {'active': 54, 'repr': 29, 'mf': 362}, 'B': {'active': 54, 'repr': 28, 'mf': 362}}, 'repr': 13804}}",0.175,"[0.1777653694152832, 0.1363832950592041, 0.18212556838989258, 0.17695045471191406, 0.18062090873718262, 0.1874856948852539, 0.11974859237670898, 0.18831586837768555, 0.17795395851135254, 0.16822123527526855, 0.1957859992980957, 0.17946887016296387, 0.17934513092041016, 0.1676778793334961, 0.16836953163146973, 0.19356369972229004, 0.17244601249694824, 0.1736617088317871, 0.20875334739685059, 0.16449928283691406]",Unknown
snap_facebook,1,q_4path_b27cc5,17555419,14146,27391,"{'source_348_circle_dabfae': {'cnt': 6830, 'attributes': {'A': {'active': 200, 'repr': 0, 'mf': 99}, 'B': {'active': 200, 'repr': 149, 'mf': 99}}, 'repr': 0}, 'source_348_circle_4d72cf': {'cnt': 4818, 'attributes': {'C': {'active': 149, 'repr': 93, 'mf': 76}, 'B': {'active': 149, 'repr': 200, 'mf': 76}}, 'repr': 18600}, 'source_348_circle_cd20fc': {'cnt': 1872, 'attributes': {'C': {'active': 93, 'repr': 149, 'mf': 68}, 'D': {'active': 93, 'repr': 59, 'mf': 68}}, 'repr': 8791}, 'source_348_circle_9939a6': {'cnt': 626, 'attributes': {'E': {'active': 59, 'repr': 0, 'mf': 43}, 'D': {'active': 59, 'repr': 93, 'mf': 43}}, 'repr': 0}}",0.182,"[0.1706984043121338, 0.15754938125610352, 0.17702078819274902, 0.22268390655517578, 0.17835617065429688, 0.18181395530700684, 0.1761317253112793, 0.18219327926635742, 0.1655421257019043, 0.16710805892944336, 0.19201087951660156, 0.17069101333618164, 0.17463946342468262, 0.17417359352111816, 0.20320892333984375, 0.19071054458618164, 0.1906740665435791, 0.19052982330322266, 0.1906752586364746, 0.19160246849060059]",Unknown
snap_facebook,1,q_triangle_8e3f9d,30699,13520,62257,"{'source_348_circle_dabfae': {'cnt': 6830, 'attributes': {'A': {'active': 200, 'repr': 93, 'mf': 99}, 'B': {'active': 200, 'repr': 149, 'mf': 99}}, 'repr': 13857}, 'source_348_circle_4d72cf': {'cnt': 4818, 'attributes': {'C': {'active': 149, 'repr': 93, 'mf': 76}, 'B': {'active': 149, 'repr': 200, 'mf': 76}}, 'repr': 18600}, 'source_348_circle_cd20fc': {'cnt': 1872, 'attributes': {'C': {'active': 93, 'repr': 149, 'mf': 68}, 'A': {'active': 93, 'repr': 200, 'mf': 68}}, 'repr': 29800}}",0.431,"[0.42504453659057617, 0.4062635898590088, 0.4680519104003906, 0.44126152992248535, 0.44475793838500977, 0.43369531631469727, 0.47769761085510254, 0.4417147636413574, 0.3841283321380615, 0.4453103542327881, 0.4319913387298584, 0.4226398468017578, 0.42142653465270996, 0.4108266830444336, 0.42519354820251465, 0.4417293071746826, 0.4463388919830322, 0.4401228427886963, 0.3971984386444092, 0.41618990898132324]",Unknown
