algo,arch,scale,query,reln,limit,reps,eps,pre_eps,run_eps,nosy_ans,gsens,bias_ans,true_ans,nosy_ans_list,bias_ans_list,gsens_list,avg_time,time_list
TSensDP,snap_facebook,1,q_4path_93f4e3,source_348_circle_circle11,100000,10,1.0,0.5,0.5,1712876.9347341147,28884.6,1781991.6,2012183.0,"[1922830.4784410715, 1934084.9297065092, 1981201.9012215987, 2057371.1324632224, 1031635.2431745565, 1998881.7283129776, 1452878.933155135, 1386524.2583186137, 1965345.1869565109, 1398015.555590951]","[1917074.0, 2012183.0, 1983567.0, 2012183.0, 1029045.0, 2012183.0, 1449090.0, 1380225.0, 2012183.0, 2012183.0]","[4015, 85862, 4308, 33037, 2510, 25514, 3049, 2941, 19908, 107702]",1.0072302579879762,"[0.4977395534515381, 2.2165400981903076, 0.4448099136352539, 1.0703189373016357, 0.437762975692749, 0.9005153179168701, 0.46443796157836914, 0.46568822860717773, 0.8456277847290039, 2.7288618087768555]"
PrivateSQL,snap_facebook,1,q_4path_93f4e3,source_348_circle_circle11,None,10,1.0,0.5,0.5,1972008.6630571238,71280.0,2012183.0,2012183.0,"[1917064.289254837, 2189318.444753106, 1888182.5300106977, 2125034.885374035, 1946888.845268961, 1797342.51377683, 1875765.5860371017, 2021895.1880323903, 2113071.169977851, 1845523.178085423]","[2012183, 2012183, 2012183, 2012183, 2012183, 2012183, 2012183, 2012183, 2012183, 2012183]","[71280, 71280, 71280, 71280, 71280, 71280, 71280, 71280, 71280, 71280]",1.789703917503357,"[1.7858214378356934, 1.789243459701538, 1.7797269821166992, 1.7937531471252441, 1.7847769260406494, 1.7849605083465576, 1.7930598258972168, 1.7973718643188477, 1.7954699993133545, 1.7928550243377686]"
TSensDP,snap_facebook,1,q_4path_8ac4a3,source_686_circle_circle13,100000,10,1.0,0.5,0.5,205254.4604054032,7659.2,201949.9,388576.0,"[0.7170892904349302, 427673.8897405029, 346332.0836986176, 362518.1303967204, 378515.50017839106, 115441.52193457233, -0.18939213646996517, 1.9055652706064696, 6.029143150440614, 422055.0156996527]","[0.0, 388576.0, 350161.0, 388576.0, 388576.0, 115034.0, 0.0, 0.0, 0.0, 388576.0]","[1, 25707, 5488, 18327, 7587, 2336, 1, 1, 1, 17143]",0.5891595125198364,"[0.34999752044677734, 0.9803862571716309, 0.5354487895965576, 1.0255858898162842, 0.5273277759552002, 0.44196510314941406, 0.38240694999694824, 0.40857386589050293, 0.3878326416015625, 0.8520703315734863]"
PrivateSQL,snap_facebook,1,q_4path_8ac4a3,source_686_circle_circle13,None,10,1.0,0.5,0.5,363260.764479729,31590.0,388576.0,388576.0,"[213754.20113557173, 285636.02679251856, 379500.24484950386, 312290.6871253761, 360612.6575063782, 390680.76372308115, 344423.9049161981, 472795.7621135399, 403401.4723148674, 469511.92432025506]","[388576, 388576, 388576, 388576, 388576, 388576, 388576, 388576, 388576, 388576]","[31590, 31590, 31590, 31590, 31590, 31590, 31590, 31590, 31590, 31590]",0.3497762680053711,"[0.3511178493499756, 0.349916934967041, 0.3482203483581543, 0.3504147529602051, 0.3510310649871826, 0.34656190872192383, 0.3545873165130615, 0.3463892936706543, 0.35051965713500977, 0.34900355339050293]"
TSensDP,snap_facebook,1,q_triangle_d99715,source_348_circle_circle11,100,10,1.0,0.5,0.5,9437.024147229467,51.8,9483.3,10366.0,"[9428.367498101496, 9554.363392232312, 9224.75991234568, 10266.738252981479, 10605.342801700312, 8789.20656445715, 8282.70208075715, 9073.475727677205, 10815.465704705517, 8329.819537336358]","[9281.0, 9661.0, 9281.0, 10144.0, 10366.0, 8768.0, 8300.0, 10366.0, 10366.0, 8300.0]","[19, 20, 19, 21, 107, 18, 17, 148, 132, 17]",0.4563922643661499,"[0.45467448234558105, 0.46590185165405273, 0.45885443687438965, 0.44155335426330566, 0.43887829780578613, 0.4575202465057373, 0.46177244186401367, 0.508481502532959, 0.44095706939697266, 0.43532896041870117]"
PrivateSQL,snap_facebook,1,q_triangle_d99715,source_348_circle_circle11,None,10,1.0,0.5,0.5,10054.08004589372,2376.0,10366.0,10366.0,"[13035.57822539291, 4085.363941095601, 3022.4204247735743, 20990.555713959984, 13328.428927721005, 10144.219995731686, 12787.715473017251, 5132.875436595138, 12885.610872224397, 5128.03144842566]","[10366, 10366, 10366, 10366, 10366, 10366, 10366, 10366, 10366, 10366]","[2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376]",0.21902060508728027,"[0.22974348068237305, 0.2189500331878662, 0.21837520599365234, 0.2205064296722412, 0.22159767150878906, 0.21791958808898926, 0.21590280532836914, 0.2160358428955078, 0.2156846523284912, 0.21549034118652344]"
TSensDP,snap_facebook,1,q_4cycle_a0d7e9,source_686_circle_circle12,1000,10,1.0,0.5,0.5,13321.388441502739,165.6,13232.0,24166.0,"[24049.75807248037, -4.867878797176251, 1.2225647833727906, 15712.309491490963, 11407.425822083118, 10516.617543396775, 25415.148982016755, 16985.33855274098, 12351.37894219385, 16779.552322638385]","[24166.0, 2.0, 2.0, 16123.0, 11123.0, 10413.0, 24166.0, 17417.0, 11990.0, 16918.0]","[480, 1, 1, 144, 105, 96, 387, 167, 110, 165]",0.3617047786712647,"[0.3593721389770508, 0.3302643299102783, 0.31187963485717773, 0.3472259044647217, 0.35823559761047363, 0.3570072650909424, 0.3982884883880615, 0.37691617012023926, 0.3872804641723633, 0.3905777931213379]"
PrivateSQL,snap_facebook,1,q_4cycle_a0d7e9,source_686_circle_circle12,None,10,1.0,0.5,0.5,127606.50437721115,155520.0,24166.0,24166.0,"[254572.36487968403, 232287.5176841943, 165334.2096595189, -17407.797105077312, 380984.6548275154, -24079.936614946484, -135949.45280861782, 232862.17530367544, 435329.8871963726, -247868.57925020793]","[24166, 24166, 24166, 24166, 24166, 24166, 24166, 24166, 24166, 24166]","[155520, 155520, 155520, 155520, 155520, 155520, 155520, 155520, 155520, 155520]",0.25033466815948485,"[0.25356245040893555, 0.2479870319366455, 0.24949312210083008, 0.24738097190856934, 0.2569448947906494, 0.24914312362670898, 0.25171971321105957, 0.24818015098571777, 0.25234127044677734, 0.24659395217895508]"
TSensDP,snap_facebook,1,q_triangle_484bb9,source_348_circle_circle11,100,10,1.0,0.5,0.5,20027.72055644909,53.5,20008.6,20751.0,"[20918.16407370986, 20588.568598160957, 19778.151478372383, 20644.584044899635, 20993.861894326754, 20226.118061506608, 20775.540686840628, 20136.260675075082, 15565.071391829444, 20650.884659769552]","[20751.0, 20751.0, 19813.0, 20539.0, 20665.0, 20331.0, 20751.0, 20191.0, 15543.0, 20751.0]","[95, 64, 26, 30, 33, 28, 64, 27, 19, 149]",0.5154887676239014,"[0.4907503128051758, 0.4839334487915039, 0.5420646667480469, 0.5499732494354248, 0.5530281066894531, 0.5265030860900879, 0.5330119132995605, 0.4955573081970215, 0.45958876609802246, 0.5204768180847168]"
PrivateSQL,snap_facebook,1,q_triangle_484bb9,source_348_circle_circle11,None,10,1.0,0.5,0.5,25176.245230737084,4950.0,20751.0,20751.0,"[54150.32874382071, 23891.654721343257, 4933.76480564851, 19377.509640724802, 27129.61064239364, 24771.472518890572, 32410.909717925024, -4320.5779284016535, 26677.04775656954, 42740.73168845645]","[20751, 20751, 20751, 20751, 20751, 20751, 20751, 20751, 20751, 20751]","[4950, 4950, 4950, 4950, 4950, 4950, 4950, 4950, 4950, 4950]",0.2231985807418823,"[0.22209906578063965, 0.22275996208190918, 0.22606778144836426, 0.22224831581115723, 0.22208523750305176, 0.22258710861206055, 0.21971869468688965, 0.2281029224395752, 0.22291350364685059, 0.2234032154083252]"
TSensDP,snap_facebook,1,q_triangle_c6971a,source_686_circle_circle12,100,10,1.0,0.5,0.5,2626.854500300425,39.2,2807.3,3800.0,"[2223.3379985441456, 3794.7196834103615, 918.326935009697, 1873.6372567034944, 4047.102489414083, 3765.0485759206786, 3391.67705089148, 2226.3316484356073, 2170.820385367645, 1857.5429793070589]","[3800.0, 3800.0, 889.0, 1890.0, 3800.0, 3800.0, 3800.0, 2202.0, 2202.0, 1890.0]","[163, 86, 8, 11, 26, 26, 37, 12, 12, 11]",0.25542330741882324,"[0.27237868309020996, 0.26972532272338867, 0.28365540504455566, 0.2256467342376709, 0.2606472969055176, 0.24645686149597168, 0.2313065528869629, 0.2381892204284668, 0.27335119247436523, 0.25287580490112305]"
PrivateSQL,snap_facebook,1,q_triangle_c6971a,source_686_circle_circle12,None,10,1.0,0.5,0.5,3248.216538653281,2880.0,3800.0,3800.0,"[3476.7901234049123, 5624.6334056991145, 6059.0855740507295, 4660.455635937996, -9239.000224894444, -611.103010260139, 4568.569098362932, -2822.267553416915, 5581.576500822701, 15183.425836825929]","[3800, 3800, 3800, 3800, 3800, 3800, 3800, 3800, 3800, 3800]","[2880, 2880, 2880, 2880, 2880, 2880, 2880, 2880, 2880, 2880]",0.12268073558807373,"[0.22619986534118652, 0.11168980598449707, 0.11030936241149902, 0.11075091361999512, 0.1130974292755127, 0.11075305938720703, 0.11320853233337402, 0.11062002182006836, 0.10943794250488281, 0.11074042320251465]"
